Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_new_shouldSucceed/Add_new_Tgroup/button_Ok""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:27,2019-10-11 16:15:28,0.579s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-11 16:15:28,2019-10-11 16:15:29,0.886s,PASSED
,,,,,,,
Test Cases/Employee/Employee_Role_And_Task/Task Group/Add/Add_Role_existing_ShouldgiveErrorMessage,Chrome 77.0.3865.90,Should give error message,,2019-10-11 16:15:29,2019-10-11 16:15:44,15.239s,PASSED
"callTestCase(findTestCase(""Login/AdminLogin_ShouldSucceed""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,,,2019-10-11 16:15:29,2019-10-11 16:15:37,8.011s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/div_more_vert_hamburgerWrapper""), OPTIONAL)",Chrome 77.0.3865.90,,,2019-10-11 16:15:37,2019-10-11 16:15:37,0.083s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/a_account_circleEmployee""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:37,2019-10-11 16:15:37,0.094s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/a_assignmentRole And Task""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:37,2019-10-11 16:15:37,0.074s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/div_Task Group""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:37,2019-10-11 16:15:38,0.621s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:38,2019-10-11 16:15:39,1.002s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/i_add""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:39,2019-10-11 16:15:39,0.194s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/input_Create Role_code""), taskgroup_code)",Chrome 77.0.3865.90,,,2019-10-11 16:15:39,2019-10-11 16:15:39,0.174s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/input_OrganizationCode_name""), taskgroup_name)",Chrome 77.0.3865.90,,,2019-10-11 16:15:39,2019-10-11 16:15:39,0.151s,PASSED
"setText(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/input_Name_description""), taskgroup_description)",Chrome 77.0.3865.90,,,2019-10-11 16:15:39,2019-10-11 16:15:40,0.161s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:40,2019-10-11 16:15:41,1.003s,PASSED
"check(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/div_Search_mat-checkbox-inner-container""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:41,2019-10-11 16:15:41,0.141s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/button_Proceed""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:41,2019-10-11 16:15:41,0.093s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:41,2019-10-11 16:15:42,1.003s,PASSED
"check(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/div_Search_mat-checkbox-inner-container_1""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:42,2019-10-11 16:15:42,0.064s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/button_Save""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:42,2019-10-11 16:15:42,0.073s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-11 16:15:42,2019-10-11 16:15:43,1.002s,PASSED
"verifyTextPresent(""Task Group name already exists"", false)",Chrome 77.0.3865.90,,,2019-10-11 16:15:43,2019-10-11 16:15:43,0.126s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/button_OK""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:43,2019-10-11 16:15:43,0.054s,PASSED
"click(findTestObject(""Object Repository/Employee/Employee_Role_And_Task_OR/Task Group_OR/Add_OR/Add_Role_Existing_ShouldgiveErorMessage/button_Cancel""))",Chrome 77.0.3865.90,,,2019-10-11 16:15:43,2019-10-11 16:15:43,0.070s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2019-10-11 16:15:43,2019-10-11 16:15:44,0.877s,PASSED
,,,,,,,
